experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,32,retail,765,194,0.678053960067774,0.6649484536082474,0.6645116662675925,0.6744943261146545
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,33,foreign,765,194,0.6659535877844867,0.6391752577319587,0.6325757575757576,0.6732648015022278
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,33,institution,765,194,0.6875807646053289,0.5515463917525774,0.5235837073418579,0.691684365272522
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,33,retail,765,194,0.6775782458143297,0.634020618556701,0.6244308111792773,0.6738213896751404
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,34,foreign,768,197,0.6624188621838888,0.6192893401015228,0.6061365393330312,0.6798332929611206
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,34,institution,768,197,0.6878334085146586,0.4619289340101523,0.4587912087912088,0.6942715048789978
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,34,retail,768,197,0.6769882241884867,0.6446700507614214,0.6268939393939394,0.6727206707000732
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,35,foreign,772,194,0.6684099021970917,0.6185567010309279,0.6179069519855211,0.656420886516571
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,35,institution,772,194,0.6863136115469464,0.5463917525773195,0.5367415608379464,0.6989381313323975
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,35,retail,772,194,0.6774478165596878,0.5721649484536082,0.5670923511224627,0.6769135594367981
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,36,foreign,765,194,0.6648617576150333,0.6134020618556701,0.6096579476861167,0.6763078570365906
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,36,institution,765,194,0.6890942272797129,0.5618556701030928,0.5592205501055839,0.689704179763794
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,36,retail,765,194,0.6735178610857795,0.5463917525773195,0.5415189601460951,0.6894417405128479
