experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_100_lr_0p001_l1_0,100,0.001,0.0,22,institution,765,194,0.6853998786483715,0.5257731958762887,0.5206789128800086,0.688728392124176
ep_100_lr_0p001_l1_0,100,0.001,0.0,22,retail,765,194,0.6535469551491582,0.5721649484536082,0.5577710032682431,0.6826637387275696
ep_100_lr_0p001_l1_0,100,0.001,0.0,23,foreign,768,197,0.6136529048283895,0.6345177664974619,0.5867132867132867,0.7078292965888977
ep_100_lr_0p001_l1_0,100,0.001,0.0,23,institution,768,197,0.6820299824078878,0.4923857868020304,0.4840771003561701,0.7293702960014343
ep_100_lr_0p001_l1_0,100,0.001,0.0,23,retail,768,197,0.6485205094019572,0.5279187817258884,0.4981235447199014,0.7447137832641602
ep_100_lr_0p001_l1_0,100,0.001,0.0,24,foreign,772,194,0.6262098433440213,0.6082474226804123,0.5753456221198157,0.6500397324562073
ep_100_lr_0p001_l1_0,100,0.001,0.0,24,institution,772,194,0.6848513261641863,0.520618556701031,0.5202999122597112,0.6928307414054871
ep_100_lr_0p001_l1_0,100,0.001,0.0,24,retail,772,194,0.6706200594111428,0.6804123711340206,0.6466094723234223,0.6415379047393799
ep_100_lr_0p001_l1_0,100,0.001,0.0,25,foreign,765,194,0.6227317616830464,0.6391752577319587,0.6112447039963358,0.6449857950210571
ep_100_lr_0p001_l1_0,100,0.001,0.0,25,institution,765,194,0.6846618513655819,0.5567010309278351,0.5528516295025729,0.6865067481994629
ep_100_lr_0p001_l1_0,100,0.001,0.0,25,retail,765,194,0.6575371010630738,0.5412371134020618,0.5071785357499643,0.6802098155021667
ep_100_lr_0p001_l1_0,100,0.001,0.0,26,foreign,765,194,0.6348574824582518,0.6855670103092784,0.6783802147030846,0.6034273505210876
ep_100_lr_0p001_l1_0,100,0.001,0.0,26,institution,765,194,0.6771474835140253,0.5,0.4969928630616663,0.7279661297798157
ep_100_lr_0p001_l1_0,100,0.001,0.0,26,retail,765,194,0.6714465199732313,0.6649484536082474,0.6508376021043888,0.635399341583252
ep_100_lr_0p001_l1_0,100,0.001,0.0,27,foreign,765,194,0.6252740192257501,0.6494845360824743,0.6420275697384131,0.6452227830886841
ep_100_lr_0p001_l1_0,100,0.001,0.0,27,institution,765,194,0.6823614772628336,0.5257731958762887,0.5107456140350877,0.7038201689720154
ep_100_lr_0p001_l1_0,100,0.001,0.0,27,retail,765,194,0.6640529815667595,0.6288659793814433,0.622077922077922,0.6546408534049988
ep_100_lr_0p001_l1_0,100,0.001,0.0,28,foreign,765,194,0.620790916720247,0.634020618556701,0.5774198496701948,0.6502193212509155
ep_100_lr_0p001_l1_0,100,0.001,0.0,28,institution,765,194,0.681792161121867,0.4793814432989691,0.4618659196396693,0.699772298336029
ep_100_lr_0p001_l1_0,100,0.001,0.0,28,retail,765,194,0.6598416851236929,0.6134020618556701,0.5678260611281076,0.6621192097663879
ep_100_lr_0p001_l1_0,100,0.001,0.0,29,foreign,768,197,0.6096712152163187,0.6192893401015228,0.507056350715644,0.736030638217926
ep_100_lr_0p001_l1_0,100,0.001,0.0,29,institution,768,197,0.6814701954523722,0.5279187817258884,0.525522492424831,0.7093032002449036
ep_100_lr_0p001_l1_0,100,0.001,0.0,29,retail,768,197,0.6561665733655294,0.5786802030456852,0.4850565300916448,0.7053741812705994
ep_100_lr_0p001_l1_0,100,0.001,0.0,30,foreign,772,194,0.6256514441781711,0.5824742268041238,0.5799631124535565,0.6644190549850464
ep_100_lr_0p001_l1_0,100,0.001,0.0,30,institution,772,194,0.6873886699503567,0.6185567010309279,0.6126281705342688,0.6840318441390991
ep_100_lr_0p001_l1_0,100,0.001,0.0,30,retail,772,194,0.6592940379300883,0.5360824742268041,0.5343006508055052,0.6837038397789001
ep_100_lr_0p001_l1_0,100,0.001,0.0,31,foreign,765,194,0.6323817927852955,0.6494845360824743,0.6485507246376812,0.6242427229881287
ep_100_lr_0p001_l1_0,100,0.001,0.0,31,institution,765,194,0.6786638076009314,0.5567010309278351,0.5302927927927928,0.7317609786987305
ep_100_lr_0p001_l1_0,100,0.001,0.0,31,retail,765,194,0.6715184189914878,0.6494845360824743,0.6491489361702127,0.6409417986869812
