investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
retail,3,0.10813368888888888,0.004865744242906085,0.100201,0.119158,0.10814882222222223,0.0048651835071851016
retail,4,0.1069461111111111,0.004895863635496161,0.09902,0.118126,0.10696593333333333,0.004895127370429423
retail,5,0.10586853333333335,0.004926473695527803,0.098034,0.117272,0.10589273333333334,0.00492555866882123
retail,6,0.10492375555555555,0.0049375366887270036,0.097033,0.11645,0.10495217777777778,0.004936389927176668
retail,7,0.1040944,0.004953471750380557,0.096071,0.115743,0.1041266,0.0049521545329464225
retail,8,0.10336288888888888,0.00495838740841407,0.095288,0.115124,0.1033989111111111,0.004956692178818011
retail,9,0.10273291111111112,0.004954811852322871,0.09463,0.114562,0.10277233333333334,0.00495285647608805
retail,10,0.10217777777777777,0.00494551464777055,0.09396,0.114074,0.10222033333333334,0.004943337849157097
retail,11,0.10171008888888888,0.004932812086713655,0.093498,0.113648,0.10175553333333334,0.004930502226861977
retail,12,0.10130457777777778,0.004914562486255828,0.093101,0.113266,0.10135273333333333,0.004911914357411525
retail,13,0.10095771111111113,0.004894278067397692,0.092714,0.11289,0.10100831111111111,0.004891669694594072
retail,14,0.10065884444444444,0.004865897497124792,0.092425,0.112605,0.10071162222222221,0.004863187868096817
retail,15,0.10041515555555555,0.0048482855965023865,0.092229,0.112317,0.10046991111111112,0.004845575675632656
retail,16,0.1001969111111111,0.004818021981072833,0.092051,0.112036,0.10025335555555556,0.004815344352623546
retail,17,0.10001262222222224,0.004804020221216666,0.091866,0.111854,0.10007068888888888,0.0048013799570456
retail,18,0.09985355555555556,0.004777622519030094,0.091755,0.111626,0.09991288888888888,0.004774979582165881
retail,19,0.09971564444444445,0.00475311800130645,0.091634,0.111449,0.09977615555555555,0.004750664508330075
retail,20,0.09959711111111111,0.004740069146130784,0.091557,0.111303,0.09965877777777779,0.0047376379082296905
