investor,context,feature,context_z,mean,p10,p90
foreign,fx_level_z_252,momentum,1.85,0.04391847724237271,0.030641635833308097,0.05505741390283208
foreign,fx_level_z_252,momentum,1.9000000000000004,0.04376614320945614,0.030170785635709744,0.0554019572236574
foreign,fx_level_z_252,momentum,1.9500000000000002,0.04361380917653957,0.02967752590775488,0.05574650054448273
foreign,fx_level_z_252,momentum,2.0,0.04346147514362301,0.02918426617980002,0.05609104386530804
foreign,fx_level_z_252,underwater,-2.0,0.02436634041174925,2.678632736216114e-05,0.042291436344385064
foreign,fx_level_z_252,underwater,-1.95,0.02399297970929172,0.0002863544505090495,0.04148958603851489
foreign,fx_level_z_252,underwater,-1.9,0.023619619006834198,0.0005459225736559372,0.04068773573264471
foreign,fx_level_z_252,underwater,-1.85,0.023246258304376675,0.0008054906968028246,0.03988588542677454
foreign,fx_level_z_252,underwater,-1.8,0.022872897601919146,0.001065058819949713,0.039084035120904366
foreign,fx_level_z_252,underwater,-1.75,0.022499536899461617,0.0013246269430966008,0.03831397560425095
foreign,fx_level_z_252,underwater,-1.7,0.022126176197004094,0.001584195066243489,0.03757349530234925
foreign,fx_level_z_252,underwater,-1.65,0.02175281549454657,0.0018437631893903769,0.03683301500044755
foreign,fx_level_z_252,underwater,-1.6,0.021379454792089043,0.0021033313125372642,0.036092534698545856
foreign,fx_level_z_252,underwater,-1.55,0.021006094089631517,0.001996459001675328,0.03535205439664416
foreign,fx_level_z_252,underwater,-1.5,0.02063273338717399,0.0017597726080566913,0.03461157409474246
foreign,fx_level_z_252,underwater,-1.45,0.020259372684716465,0.0018832434481009916,0.03387109379284077
foreign,fx_level_z_252,underwater,-1.4,0.01988601198225894,0.0021782359667122412,0.03313061349093907
foreign,fx_level_z_252,underwater,-1.35,0.019512651279801414,0.0024732284853234907,0.03239013318903738
foreign,fx_level_z_252,underwater,-1.2999999999999998,0.019139290577343888,0.002768221003934742,0.03164965288713567
foreign,fx_level_z_252,underwater,-1.25,0.018765929874886362,0.003063213522545991,0.03090917258523398
foreign,fx_level_z_252,underwater,-1.2,0.018392569172428836,0.0033510046266019204,0.030168692283332285
foreign,fx_level_z_252,underwater,-1.15,0.01801920846997131,0.003592591432388856,0.02942821198143059
foreign,fx_level_z_252,underwater,-1.1,0.017645847767513784,0.003745367194060146,0.028687731679528893
foreign,fx_level_z_252,underwater,-1.0499999999999998,0.01727248706505626,0.0038226204353849435,0.027947251377627193
foreign,fx_level_z_252,underwater,-1.0,0.016899126362598733,0.0038998736767097398,0.027206771075725503
foreign,fx_level_z_252,underwater,-0.95,0.016525765660141207,0.003960451027960403,0.026466290773823804
foreign,fx_level_z_252,underwater,-0.8999999999999999,0.01615240495768368,0.004008943199878446,0.02578350631520145
foreign,fx_level_z_252,underwater,-0.8499999999999999,0.015779044255226155,0.004057435371796489,0.025103660533204605
foreign,fx_level_z_252,underwater,-0.7999999999999998,0.01540568355276863,0.004105927543714532,0.024438119307160295
foreign,fx_level_z_252,underwater,-0.75,0.015032322850311104,0.004154419715632575,0.023807540722191257
foreign,fx_level_z_252,underwater,-0.7,0.014658962147853578,0.004184126710751918,0.023176962137222215
foreign,fx_level_z_252,underwater,-0.6499999999999999,0.014285601445396052,0.004066963553777791,0.02257415171712627
foreign,fx_level_z_252,underwater,-0.5999999999999999,0.013912240742938526,0.0039498003968036636,0.022051801756024267
foreign,fx_level_z_252,underwater,-0.5499999999999998,0.013538880040481,0.0038215261034200976,0.02154713759198776
foreign,fx_level_z_252,underwater,-0.5,0.013165519338023476,0.0036502963514066403,0.02104247342795125
foreign,fx_level_z_252,underwater,-0.44999999999999996,0.012792158635565948,0.003598862296203063,0.020537809263914738
foreign,fx_level_z_252,underwater,-0.3999999999999999,0.012418797933108423,0.0035934017226099874,0.020033145099878233
foreign,fx_level_z_252,underwater,-0.34999999999999987,0.012045437230650897,0.003241554116830221,0.019392703212797596
foreign,fx_level_z_252,underwater,-0.2999999999999998,0.011672076528193371,0.002965377343352808,0.018767733350396106
foreign,fx_level_z_252,underwater,-0.25,0.011298715825735847,0.00279414759133935,0.0182374372147023
foreign,fx_level_z_252,underwater,-0.19999999999999996,0.010925355123278321,0.0026229178393258924,0.017754247263073855
foreign,fx_level_z_252,underwater,-0.1499999999999999,0.010551994420820795,0.0024516880873124342,0.017271057311445414
foreign,fx_level_z_252,underwater,-0.09999999999999987,0.01017863371836327,0.002275376347824872,0.016787867359816966
foreign,fx_level_z_252,underwater,-0.04999999999999982,0.009805273015905742,0.0019463743316009059,0.01628303181380027
foreign,fx_level_z_252,underwater,0.0,0.009431912313448218,0.0016173723153769409,0.015758771821856442
foreign,fx_level_z_252,underwater,0.050000000000000266,0.00905855161099069,0.0018615730758755713,0.015276997089385954
foreign,fx_level_z_252,underwater,0.10000000000000009,0.008685190908533166,0.0021724785771220223,0.014870073497295353
foreign,fx_level_z_252,underwater,0.1499999999999999,0.00831183020607564,0.001837407853454304,0.014487287104129741
foreign,fx_level_z_252,underwater,0.20000000000000018,0.007938469503618114,0.0014008744899183026,0.014285327140241832
foreign,fx_level_z_252,underwater,0.25,0.007565108801160589,0.001110879296902515,0.013561860774643686
foreign,fx_level_z_252,underwater,0.30000000000000027,0.007191748098703061,0.0009015302849001417,0.013070892095565763
foreign,fx_level_z_252,underwater,0.3500000000000001,0.006818387396245538,0.0007337022875434895,0.012579917944967716
foreign,fx_level_z_252,underwater,0.40000000000000036,0.006445026693788009,0.00020993995480233629,0.012088943794369669
foreign,fx_level_z_252,underwater,0.4500000000000002,0.006071665991330484,-0.0003669586218894066,0.011611742749810207
foreign,fx_level_z_252,underwater,0.5,0.00569830528887296,-0.0009438571985811498,0.011152606457471842
foreign,fx_level_z_252,underwater,0.5500000000000003,0.0053249445864154326,-0.001539082005620054,0.010693470165133471
foreign,fx_level_z_252,underwater,0.6000000000000001,0.0049515838839579085,-0.002193306656554373,0.01041488977149124
foreign,fx_level_z_252,underwater,0.6500000000000004,0.00457822318150038,-0.002646376388147506,0.010690002320334254
foreign,fx_level_z_252,underwater,0.7000000000000002,0.004204862479042855,-0.003100709086284081,0.011143786525353727
foreign,fx_level_z_252,underwater,0.75,0.0038315017765853314,-0.003600673656910695,0.011137596995104079
foreign,fx_level_z_252,underwater,0.8000000000000003,0.003458141074127804,-0.004102421244606402,0.010997396856546434
foreign,fx_level_z_252,underwater,0.8500000000000001,0.0030847803716702793,-0.004607959212735309,0.01083462757058445
foreign,fx_level_z_252,underwater,0.9000000000000004,0.0027114196692127513,-0.0051555602531880304,0.010671858284622467
foreign,fx_level_z_252,underwater,0.9500000000000002,0.0023380589667552267,-0.005703161293640745,0.010509088998660486
foreign,fx_level_z_252,underwater,1.0,0.001964698264297702,-0.00625076233409346,0.010346319712698502
foreign,fx_level_z_252,underwater,1.0500000000000003,0.0015913375618401744,-0.006811336390674121,0.010183550426736517
foreign,fx_level_z_252,underwater,1.1,0.00121797685938265,-0.007389666717499498,0.010087765948846918
foreign,fx_level_z_252,underwater,1.1500000000000004,0.0008446161569251223,-0.007967997044324878,0.010010130484588427
foreign,fx_level_z_252,underwater,1.2000000000000002,0.00047125545446759795,-0.008546327371150254,0.009932495020329937
