split,investor,parameter,term,weight
17,retail,alpha,kospi_return_1d,-0.0209137815982103
17,retail,alpha,fx_level_z_252,0.0263363476842641
18,foreign,alpha,kospi_return_1d,0.0314199551939964
18,foreign,alpha,fx_level_z_252,-0.0225922018289566
18,institution,alpha,kospi_return_1d,-0.0038904005195945
18,institution,alpha,fx_level_z_252,-0.0032398356124758
18,retail,alpha,kospi_return_1d,-0.0195920784026384
18,retail,alpha,fx_level_z_252,0.0298339538276195
19,foreign,alpha,kospi_return_1d,0.0347660891711711
19,foreign,alpha,fx_level_z_252,-0.0269574169069528
19,institution,alpha,kospi_return_1d,-0.0032491981983184
19,institution,alpha,fx_level_z_252,-0.0034184728283435
19,retail,alpha,kospi_return_1d,-0.0265736691653728
19,retail,alpha,fx_level_z_252,0.03188231959939
20,foreign,alpha,kospi_return_1d,0.0317017622292041
20,foreign,alpha,fx_level_z_252,-0.0418142639100551
20,institution,alpha,kospi_return_1d,-0.0041181906126439
20,institution,alpha,fx_level_z_252,-0.0033243175130337
20,retail,alpha,kospi_return_1d,-0.02176827006042
20,retail,alpha,fx_level_z_252,0.0326840691268444
21,foreign,alpha,kospi_return_1d,0.0367728024721145
21,foreign,alpha,fx_level_z_252,-0.0193161647766828
21,institution,alpha,kospi_return_1d,-0.0037351248320192
21,institution,alpha,fx_level_z_252,-0.0044350586831569
21,retail,alpha,kospi_return_1d,-0.0243137013167142
21,retail,alpha,fx_level_z_252,0.0334145911037921
22,foreign,alpha,kospi_return_1d,0.0355332642793655
22,foreign,alpha,fx_level_z_252,-0.0306333601474761
22,institution,alpha,kospi_return_1d,-0.0030428629834204
22,institution,alpha,fx_level_z_252,-0.0039550722576677
22,retail,alpha,kospi_return_1d,-0.0238958299160003
22,retail,alpha,fx_level_z_252,0.0333536006510257
23,foreign,alpha,kospi_return_1d,0.0405164361000061
23,foreign,alpha,fx_level_z_252,-0.0261531621217727
23,institution,alpha,kospi_return_1d,-0.0029673201497644
23,institution,alpha,fx_level_z_252,-0.0039575439877808
23,retail,alpha,kospi_return_1d,-0.0293038841336965
23,retail,alpha,fx_level_z_252,0.0283071156591177
24,foreign,alpha,kospi_return_1d,0.0426440685987472
24,foreign,alpha,fx_level_z_252,-0.001039435272105
24,institution,alpha,kospi_return_1d,-0.0043050674721598
24,institution,alpha,fx_level_z_252,-0.0003183134540449
24,retail,alpha,kospi_return_1d,-0.01917614787817
24,retail,alpha,fx_level_z_252,0.0220454316586256
25,foreign,alpha,kospi_return_1d,0.0413748696446418
25,foreign,alpha,fx_level_z_252,-0.014475411735475
25,institution,alpha,kospi_return_1d,-0.004119012504816
25,institution,alpha,fx_level_z_252,-0.0024545576889067
25,retail,alpha,kospi_return_1d,-0.024827865883708
25,retail,alpha,fx_level_z_252,0.0271027162671089
26,foreign,alpha,kospi_return_1d,0.0380482114851474
26,foreign,alpha,fx_level_z_252,-0.0303417947143316
26,institution,alpha,kospi_return_1d,-0.004478717688471
26,institution,alpha,fx_level_z_252,-0.0021644853986799
26,retail,alpha,kospi_return_1d,-0.022138962522149
26,retail,alpha,fx_level_z_252,0.0296573396772146
27,foreign,alpha,kospi_return_1d,0.0429256409406662
27,foreign,alpha,fx_level_z_252,-0.0106981210410594
27,institution,alpha,kospi_return_1d,-0.0043721767142415
27,institution,alpha,fx_level_z_252,-0.0041453852318227
27,retail,alpha,kospi_return_1d,-0.0260230004787445
27,retail,alpha,fx_level_z_252,0.0300456676632165
28,foreign,alpha,kospi_return_1d,0.0415642596781253
28,foreign,alpha,fx_level_z_252,-0.0181291401386261
28,institution,alpha,kospi_return_1d,-0.0041079563088715
28,institution,alpha,fx_level_z_252,-0.0035051105078309
28,retail,alpha,kospi_return_1d,-0.0232389569282531
