experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
lr_0p001_l1_0,50,0.001,0.0,39,retail,772,194,0.6720298244545497,0.6494845360824743,0.6430735930735931,0.6525167226791382
lr_0p001_l1_0,50,0.001,0.0,40,foreign,765,194,0.6403213985605177,0.6443298969072165,0.6440934832894631,0.6046634316444397
lr_0p001_l1_0,50,0.001,0.0,40,institution,765,194,0.6779086497874042,0.5103092783505154,0.4938342808491939,0.7271169424057007
lr_0p001_l1_0,50,0.001,0.0,40,retail,765,194,0.6663944340219685,0.6237113402061856,0.6237013418360569,0.6479741930961609
lr_0p001_l1_0,50,0.001,0.0,41,foreign,768,197,0.6313151915868124,0.6446700507614214,0.6405859049207674,0.6501331329345703
lr_0p001_l1_0,50,0.001,0.0,41,institution,768,197,0.6777831514676412,0.5228426395939086,0.5225350660066006,0.7332924604415894
lr_0p001_l1_0,50,0.001,0.0,41,retail,768,197,0.6634670495986938,0.6294416243654822,0.6269810390890462,0.6829293370246887
lr_0p001_l1_0,50,0.001,0.0,42,foreign,772,194,0.6373384906837978,0.6391752577319587,0.6388297872340425,0.6372338533401489
lr_0p001_l1_0,50,0.001,0.0,42,institution,772,194,0.6857482590205929,0.5103092783505154,0.4874148240856626,0.695006251335144
lr_0p001_l1_0,50,0.001,0.0,42,retail,772,194,0.6618747955159202,0.6030927835051546,0.6022367194780989,0.6739322543144226
lr_0p001_l1_0,50,0.001,0.0,43,foreign,768,197,0.6209033926328024,0.6243654822335025,0.6208385351643779,0.7022550702095032
lr_0p001_l1_0,50,0.001,0.0,43,institution,768,197,0.6818834940592448,0.4720812182741117,0.4709770708531295,0.7228595018386841
lr_0p001_l1_0,50,0.001,0.0,43,retail,768,197,0.6552402575810751,0.6040609137055838,0.6017520215633423,0.7035781741142273
lr_0p001_l1_0,50,0.001,0.0,44,foreign,775,197,0.620410322297004,0.6142131979695431,0.5702640642939151,0.6827459335327148
lr_0p001_l1_0,50,0.001,0.0,44,institution,775,197,0.6854225017947535,0.5025380710659898,0.5022174092409241,0.6919692158699036
lr_0p001_l1_0,50,0.001,0.0,44,retail,775,197,0.6579937594167647,0.5736040609137056,0.5501304915180514,0.6903684735298157
lr_0p001_l1_0p0001,50,0.001,0.0001,0,foreign,773,194,0.6343846617972558,0.6391752577319587,0.6088709677419355,0.6445314288139343
lr_0p001_l1_0p0001,50,0.001,0.0001,0,institution,773,194,0.6882464716073612,0.5412371134020618,0.5397574303611888,0.6954681277275085
lr_0p001_l1_0p0001,50,0.001,0.0001,0,retail,773,194,0.6581460363960513,0.5670103092783505,0.5212128334704431,0.7043494582176208
lr_0p001_l1_0p0001,50,0.001,0.0001,1,foreign,766,194,0.6363684440094871,0.6804123711340206,0.6787393162393163,0.6201941967010498
lr_0p001_l1_0p0001,50,0.001,0.0001,1,institution,766,194,0.6858264891036808,0.5309278350515464,0.5309153713298791,0.6885021924972534
lr_0p001_l1_0p0001,50,0.001,0.0001,1,retail,766,194,0.6601886445797455,0.5824742268041238,0.5799631124535565,0.6707949042320251
lr_0p001_l1_0p0001,50,0.001,0.0001,2,foreign,766,194,0.6341949615715067,0.654639175257732,0.653525256564041,0.6312650442123413
lr_0p001_l1_0p0001,50,0.001,0.0001,2,institution,766,194,0.6822897855669027,0.5154639175257731,0.5129273504273505,0.6973298192024231
lr_0p001_l1_0p0001,50,0.001,0.0001,2,retail,766,194,0.6649838379406742,0.6288659793814433,0.6269230769230769,0.6584694981575012
lr_0p001_l1_0p0001,50,0.001,0.0001,3,foreign,766,194,0.6335532330657421,0.6443298969072165,0.6337319068596601,0.6367989778518677
lr_0p001_l1_0p0001,50,0.001,0.0001,3,institution,766,194,0.6849959548708664,0.5721649484536082,0.5541464765332964,0.68874192237854
lr_0p001_l1_0p0001,50,0.001,0.0001,3,retail,766,194,0.6652489239179745,0.6494845360824743,0.6430735930735931,0.6569629907608032
lr_0p001_l1_0p0001,50,0.001,0.0001,4,foreign,766,194,0.6348730040903814,0.634020618556701,0.6231154403918242,0.6345824599266052
lr_0p001_l1_0p0001,50,0.001,0.0001,4,institution,766,194,0.6845593768373793,0.5257731958762887,0.5184025903939558,0.6927649974822998
lr_0p001_l1_0p0001,50,0.001,0.0001,4,retail,766,194,0.6539937677956126,0.5051546391752577,0.4831834831834832,0.6996915936470032
lr_0p001_l1_0p0001,50,0.001,0.0001,5,foreign,766,194,0.6451644190920239,0.6958762886597938,0.6625092142120006,0.5966211557388306
lr_0p001_l1_0p0001,50,0.001,0.0001,5,institution,766,194,0.6786129051337977,0.5051546391752577,0.4913143231727302,0.7210668325424194
lr_0p001_l1_0p0001,50,0.001,0.0001,5,retail,766,194,0.6675708718772968,0.6443298969072165,0.6179249322106465,0.6552940607070923
lr_0p001_l1_0p0001,50,0.001,0.0001,6,foreign,766,194,0.6363968953451351,0.6752577319587629,0.6369738913476104,0.6364598274230957
lr_0p001_l1_0p0001,50,0.001,0.0001,6,institution,766,194,0.6827186873625215,0.5154639175257731,0.5019119414399651,0.7052193880081177
lr_0p001_l1_0p0001,50,0.001,0.0001,6,retail,766,194,0.6611466589857953,0.634020618556701,0.5967208315034402,0.6702588796615601
lr_0p001_l1_0p0001,50,0.001,0.0001,7,foreign,766,194,0.6340887909147198,0.6443298969072165,0.6408853118712274,0.6264992952346802
lr_0p001_l1_0p0001,50,0.001,0.0001,7,institution,766,194,0.6829047287101845,0.5154639175257731,0.5051557581678063,0.6960896253585815
lr_0p001_l1_0p0001,50,0.001,0.0001,7,retail,766,194,0.65756309654943,0.5773195876288659,0.570750134916352,0.6765785813331604
lr_0p001_l1_0p0001,50,0.001,0.0001,8,foreign,769,197,0.6368243807468985,0.649746192893401,0.6497100889060689,0.6735263466835022
lr_0p001_l1_0p0001,50,0.001,0.0001,8,institution,769,197,0.6876921767686216,0.5380710659898477,0.5378805454592324,0.6897040009498596
lr_0p001_l1_0p0001,50,0.001,0.0001,8,retail,769,197,0.6611313108349962,0.5583756345177665,0.5579655946148092,0.6891776919364929
lr_0p001_l1_0p0001,50,0.001,0.0001,9,foreign,772,194,0.6323292879242971,0.6185567010309279,0.6170916462178598,0.6555390954017639
lr_0p001_l1_0p0001,50,0.001,0.0001,9,institution,772,194,0.6903971069217346,0.5567010309278351,0.5565124933545986,0.6887369155883789
lr_0p001_l1_0p0001,50,0.001,0.0001,9,retail,772,194,0.6598572897787539,0.5360824742268041,0.5358851674641147,0.7074000835418701
lr_0p001_l1_0p0001,50,0.001,0.0001,10,foreign,765,194,0.6259032145824308,0.6134020618556701,0.5988088344776243,0.6660836338996887
lr_0p001_l1_0p0001,50,0.001,0.0001,10,institution,765,194,0.6847764876932879,0.5463917525773195,0.5393416082029142,0.6906993389129639
lr_0p001_l1_0p0001,50,0.001,0.0001,10,retail,765,194,0.6618241378684449,0.5979381443298969,0.5866928875778433,0.6865687966346741
lr_0p001_l1_0p0001,50,0.001,0.0001,11,foreign,765,194,0.627102053477094,0.5979381443298969,0.5958333333333333,0.6564939022064209
lr_0p001_l1_0p0001,50,0.001,0.0001,11,institution,765,194,0.6871217602997823,0.6185567010309279,0.5890301156532692,0.6834883689880371
lr_0p001_l1_0p0001,50,0.001,0.0001,11,retail,765,194,0.6631718342600305,0.6237113402061856,0.6224976675996268,0.6769968271255493
lr_0p001_l1_0p0001,50,0.001,0.0001,12,foreign,765,194,0.6285150621451584,0.6134020618556701,0.6110769559755153,0.6543661952018738
lr_0p001_l1_0p0001,50,0.001,0.0001,12,institution,765,194,0.6876381555413889,0.5721649484536082,0.5541464765332964,0.6834815144538879
lr_0p001_l1_0p0001,50,0.001,0.0001,12,retail,765,194,0.6508977032954397,0.5051546391752577,0.4974635725849973,0.7261185646057129
lr_0p001_l1_0p0001,50,0.001,0.0001,13,foreign,765,194,0.6399122558388055,0.634020618556701,0.6202056966388176,0.6101792454719543
lr_0p001_l1_0p0001,50,0.001,0.0001,13,institution,765,194,0.682509612569622,0.5412371134020618,0.5219161013429323,0.7022886276245117
lr_0p001_l1_0p0001,50,0.001,0.0001,13,retail,765,194,0.6672536400408526,0.6443298969072165,0.6373045763676267,0.6584022641181946
lr_0p001_l1_0p0001,50,0.001,0.0001,14,foreign,765,194,0.6316035521575828,0.6443298969072165,0.6309041277194143,0.6478834748268127
lr_0p001_l1_0p0001,50,0.001,0.0001,14,institution,765,194,0.6854304378328759,0.5463917525773195,0.5193693693693694,0.6984171271324158
lr_0p001_l1_0p0001,50,0.001,0.0001,14,retail,765,194,0.6568076349551382,0.5773195876288659,0.5521396396396396,0.738419234752655
lr_0p001_l1_0p0001,50,0.001,0.0001,15,foreign,765,194,0.6253770141040578,0.6237113402061856,0.6237013418360569,0.6637645363807678
