experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_12_bs_512_lr_0p002_l1_0p0003,12,512,0.002,0.0003,retail,0.6001505980311779,0.052363035837033375,0.5874010318642663,0.054494492707997326,0.6781889253192478,0.015956300114200826,5.0,6.0
ep_15_bs_512_lr_0p002_l1_0p0003,15,512,0.002,0.0003,retail,0.6000290729789919,0.05346564676777861,0.5866753944270781,0.05599026287077852,0.6777708437707689,0.019433418600020014,6.0,2.0
ep_10_bs_512_lr_0p002_l1_0p0003,10,512,0.002,0.0003,retail,0.5998086997982336,0.05134684919968007,0.5876576395370829,0.0537151397584174,0.6789135482576159,0.0133786437259072,7.0,10.0
ep_12_bs_512_lr_0p0017_l1_0p0003,12,512,0.0017,0.0003,retail,0.5996941522610055,0.051384639510890825,0.5874002337271319,0.05358127530174921,0.6788457685046726,0.013494296459552715,8.0,9.0
ep_15_bs_512_lr_0p0013_l1_0p0003,15,512,0.0013,0.0003,retail,0.5995778603450381,0.05172772414955086,0.5871174761720135,0.053957236352454786,0.6790927648544312,0.012676153819440893,9.0,11.0
ep_18_bs_512_lr_0p0017_l1_0p0003,18,512,0.0017,0.0003,retail,0.5994633128078102,0.05242752981828104,0.5860922505809921,0.05491679300657062,0.6776839666896396,0.019293453628706072,10.0,1.0
ep_10_bs_512_lr_0p0013_l1_0p0003,10,512,0.0013,0.0003,retail,0.5991196701961263,0.05130332484818616,0.5876018283423059,0.05341813402076227,0.6815695431497362,0.008572877509508721,11.0,18.0
ep_18_bs_512_lr_0p002_l1_0p0003,18,512,0.002,0.0003,retail,0.5991144370599077,0.05210441591361727,0.5852958039339287,0.05469785316839117,0.6778228945202298,0.02223501545372922,12.0,3.0
ep_10_bs_512_lr_0p0017_l1_0p0003,10,512,0.0017,0.0003,retail,0.5988870863641914,0.050242622190106244,0.5869491055118362,0.05225964018149552,0.6798154287868076,0.011291030709845414,13.0,13.0
ep_12_bs_512_lr_0p0015_l1_0p0003,12,512,0.0015,0.0003,retail,0.5987795163419215,0.05067798641205365,0.586616121081725,0.052858108692806764,0.6795099947187636,0.011857331520884324,14.0,12.0
ep_10_bs_512_lr_0p0015_l1_0p0003,10,512,0.0015,0.0003,retail,0.5986579912897355,0.050732188209704196,0.5868137420014014,0.05265023905265594,0.6806072698699104,0.00992119865879308,15.0,16.0
ep_8_bs_512_lr_0p002_l1_0p0003,8,512,0.002,0.0003,retail,0.5985469325099866,0.05122199948414149,0.5867564862960164,0.053145768810390896,0.6801729242006938,0.01071039184669258,16.0,14.0
ep_8_bs_512_lr_0p0017_l1_0p0003,8,512,0.0017,0.0003,retail,0.598545188131247,0.05067610289708528,0.5869845338638368,0.05279947778703966,0.6812409069803026,0.009054238353801182,17.0,17.0
ep_12_bs_512_lr_0p0013_l1_0p0003,12,512,0.0013,0.0003,retail,0.5984323849727586,0.05061425877089581,0.5864048371009035,0.05284333877267531,0.6803833497895135,0.010236948603434671,18.0,15.0
ep_8_bs_512_lr_0p0015_l1_0p0003,8,512,0.0015,0.0003,retail,0.5983248149504887,0.0509550742838749,0.586919040994516,0.053243880507251644,0.6820987357033623,0.00797099674149068,19.0,19.0
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,retail,0.5971845727144277,0.05111251339680054,0.5858089034895861,0.053399654021263177,0.6830829461415608,0.006903277181763102,20.0,20.0
