experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,22,retail,765,194,0.6795739417761759,0.5670103092783505,0.5653472740851382,0.6857088208198547
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,23,foreign,768,197,0.6693942348162333,0.6091370558375635,0.5886149757274971,0.6916074752807617
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,23,institution,768,197,0.6892993847529093,0.5177664974619289,0.5145643659377999,0.6950663328170776
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,23,retail,768,197,0.679136057694753,0.5329949238578681,0.5177735206470838,0.6882401704788208
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,24,foreign,772,194,0.673670165588201,0.6443298969072165,0.6179249322106465,0.6785643100738525
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,24,institution,772,194,0.688917753918801,0.5721649484536082,0.5594166415848086,0.6921753287315369
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,24,retail,772,194,0.6829819073948835,0.6855670103092784,0.6510688485920684,0.6743676066398621
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,25,foreign,765,194,0.6735278937551711,0.6134020618556701,0.5822206908433112,0.6790072917938232
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,25,institution,765,194,0.6894527332455505,0.5618556701030928,0.5609106643589402,0.6894513368606567
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,25,retail,765,194,0.6801236103562748,0.5567010309278351,0.5277935016415713,0.6845541000366211
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,26,foreign,765,194,0.6759650014584361,0.6391752577319587,0.6277412280701755,0.6623377799987793
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,26,institution,765,194,0.6869463968900295,0.4845360824742268,0.4778208440999139,0.6999108195304871
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,26,retail,765,194,0.6842351179496915,0.6701030927835051,0.658337919647771,0.6695618033409119
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,27,foreign,765,194,0.6729638230566884,0.6288659793814433,0.6171052631578948,0.678609311580658
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,27,institution,765,194,0.6882408067291859,0.5103092783505154,0.5020399340736538,0.6945657730102539
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,27,retail,765,194,0.6816372460789151,0.654639175257732,0.6455896387184731,0.6793180704116821
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,28,foreign,765,194,0.6721301772236045,0.6288659793814433,0.592436974789916,0.6851478815078735
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,28,institution,765,194,0.6882435538410361,0.5154639175257731,0.5079330814894766,0.6934032440185547
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,28,retail,765,194,0.680970849944096,0.6030927835051546,0.580522872146247,0.6821048259735107
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,29,foreign,768,197,0.6694743037223816,0.5989847715736041,0.5244308632543927,0.6932178139686584
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,29,institution,768,197,0.6885138551394144,0.5076142131979695,0.5068008775325848,0.6913021206855774
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,29,retail,768,197,0.6805390318234762,0.5989847715736041,0.5410363030463889,0.6829715967178345
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,30,foreign,772,194,0.6733722578676253,0.5927835051546392,0.5914700786352125,0.6801328659057617
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,30,institution,772,194,0.6899156795882191,0.6391752577319587,0.6231546231546231,0.68822181224823
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,30,retail,772,194,0.6801207136613717,0.5567010309278351,0.5555200341005968,0.6850681900978088
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,31,foreign,765,194,0.6757051716442981,0.6288659793814433,0.6278772378516624,0.6668400168418884
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,31,institution,765,194,0.6872973270665587,0.5412371134020618,0.5099758762594011,0.6986745595932007
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,31,retail,765,194,0.6844549069996753,0.7010309278350515,0.7007446808510638,0.6711375713348389
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,32,foreign,765,194,0.673410158453424,0.634020618556701,0.6304761904761904,0.6800990104675293
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,32,institution,765,194,0.6890969766510857,0.5360824742268041,0.5310989365130518,0.6951488852500916
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,32,retail,765,194,0.6818026590970606,0.654639175257732,0.6544096142086091,0.6788768768310547
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,33,foreign,765,194,0.6736231231221965,0.6391752577319587,0.6352991728434848,0.678083598613739
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,33,institution,765,194,0.6888515085176705,0.5463917525773195,0.5217927170868347,0.6917399168014526
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,33,retail,765,194,0.6816701527514489,0.6443298969072165,0.6362005707297187,0.6781775951385498
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,34,foreign,768,197,0.671104629834493,0.6294416243654822,0.6166395649508171,0.6830826997756958
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,34,institution,768,197,0.6890354156494141,0.482233502538071,0.4762823185988324,0.6938750743865967
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,34,retail,768,197,0.6810892621676127,0.6446700507614214,0.6285822021116139,0.6767577528953552
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,35,foreign,772,194,0.675478713191235,0.6185567010309279,0.617540494458653,0.6637768149375916
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,35,institution,772,194,0.6880939068571891,0.5515463917525774,0.5426883788983119,0.6965336203575134
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,35,retail,772,194,0.681465446022508,0.5773195876288659,0.570750134916352,0.679317831993103
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,36,foreign,765,194,0.6726361917514427,0.6082474226804123,0.6048456260720412,0.6801405549049377
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,36,institution,765,194,0.6902433694577684,0.5618556701030928,0.5598793605039101,0.6906421184539795
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,36,retail,765,194,0.6788777275802264,0.5257731958762887,0.5225254146602462,0.689937949180603
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,37,foreign,765,194,0.6737941456776039,0.6185567010309279,0.6115800865800867,0.6779332756996155
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,37,institution,765,194,0.6896276995247486,0.5360824742268041,0.5247168989547039,0.6903145909309387
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,37,retail,765,194,0.6786008777182087,0.520618556701031,0.5149348030649281,0.6876222491264343
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,38,foreign,768,197,0.6709600488344828,0.583756345177665,0.566777515554602,0.6844825744628906
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,38,institution,768,197,0.6897208491961161,0.5685279187817259,0.5669209879736196,0.6870831847190857
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,38,retail,768,197,0.6781413753827413,0.5126903553299492,0.4986214209968186,0.6886218786239624
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,39,foreign,772,194,0.6749064990275883,0.654639175257732,0.6400941437076006,0.6662065982818604
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,39,institution,772,194,0.6879733485879058,0.5257731958762887,0.515684359057853,0.6946042776107788
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,39,retail,772,194,0.6828658611663265,0.6494845360824743,0.6476495726495727,0.6768479347229004
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,40,foreign,765,194,0.6763436495868209,0.6391752577319587,0.6360420240137221,0.6628938913345337
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,40,institution,765,194,0.6867025344979529,0.4690721649484536,0.446711892565416,0.7014138698577881
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,40,retail,765,194,0.6825877901775385,0.6237113402061856,0.622899747037678,0.6729851961135864
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,41,foreign,768,197,0.6735287308692932,0.6091370558375635,0.6010782380013149,0.6667582988739014
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,41,institution,768,197,0.6873938242594401,0.5076142131979695,0.4942702130475056,0.6986841559410095
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,41,retail,768,197,0.6816679040590922,0.6345177664974619,0.6303169307756464,0.6725888848304749
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,42,foreign,772,194,0.6740559849096703,0.6391752577319587,0.6390217969165337,0.6746107339859009
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,42,institution,772,194,0.6881800340247278,0.5,0.4766235572243081,0.6935973167419434
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,42,retail,772,194,0.679711157176161,0.6237113402061856,0.6237013418360569,0.6817521452903748
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,43,foreign,768,197,0.6708980997403463,0.6192893401015228,0.6144814090019569,0.681892991065979
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,43,institution,768,197,0.6886582970619202,0.5025380710659898,0.4968202668890742,0.6969547271728516
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,43,retail,768,197,0.6792202194531759,0.5939086294416244,0.5933952528379773,0.6836033463478088
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,44,foreign,775,197,0.6699628991465415,0.5685279187817259,0.5568347227735875,0.6925152540206909
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,44,institution,775,197,0.6886973848650533,0.5228426395939086,0.5137079831932774,0.6909833550453186
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,44,retail,775,197,0.6789757940846105,0.5583756345177665,0.5478910021366958,0.6866729259490967
