split,investor,train_size,test_size,train_mse,train_rmse,mae,rmse,mse,direction_accuracy,correlation,saturation_rate,actual_mean,predicted_mean
35,retail,772,194,0.09956572556125068,0.31554037073130703,0.2245533893139284,0.2767815624350333,0.07660803330397825,0.6237113402061856,0.27988798785909996,0.0,0.05510709020213138,0.037684141158980805
36,foreign,765,194,0.05434454199340608,0.23311915835770788,0.17088024284373776,0.2198679883430412,0.0483419322980157,0.6701030927835051,0.4039848599177859,0.0,-0.04113857745500185,-0.03472250802730469
36,institution,765,194,0.015440505929291248,0.12425983232441305,0.08427127140118697,0.11484997017885837,0.013190515650084658,0.5567010309278351,0.13816021038407383,0.0,-0.011396277354599322,-0.005677065844155522
36,retail,765,194,0.10128976610166575,0.31826053180007374,0.20321838704379486,0.25523598207629655,0.06514540654645158,0.5927835051546392,0.20850737656780036,0.0,0.04625993993699781,0.044326365402102774
37,foreign,765,194,0.053089800886079376,0.2304122411810609,0.18624821210312464,0.23189170233004236,0.053773761609524975,0.6134020618556701,0.33887751942230093,0.0,0.023492213148088435,0.035827516522930605
37,institution,765,194,0.015624332241714,0.12499732893831772,0.08567961409313547,0.11250583664666981,0.01265756327956715,0.5824742268041238,0.13532720378251448,0.0,-0.014795474658873816,-0.002549446820396661
37,retail,765,194,0.09241919991822024,0.3040052629778311,0.25870272867650407,0.318331618471245,0.1013350193185223,0.5979381443298969,0.24300309960622926,0.0,0.011570086894729702,-0.028823537377582996
38,foreign,768,197,0.05195011074344317,0.2279256693385876,0.1962905055890569,0.2472277180559886,0.06112154457517139,0.5786802030456852,0.2237301491956761,0.0,0.0492766319128784,0.06462578943382173
38,institution,768,197,0.01410470437258482,0.11876322820041908,0.10290067536424878,0.13537946230223172,0.018327598813241378,0.5482233502538071,0.16304973297750935,0.0,0.0043031749620485275,-0.005646179709258504
38,retail,768,197,0.0937654400865237,0.3062114303655624,0.25484026620296885,0.31177217152295866,0.09720188693614117,0.5888324873096447,0.2241621720199751,0.0,-0.04982348665037207,-0.050000045164890095
39,foreign,772,194,0.05299383232012932,0.23020389293000523,0.18628534407009245,0.23738905876932212,0.05635356522338467,0.6855670103092784,0.34551621005115185,0.0,-0.1041683845447626,-0.07064748326911754
