split,investor,feature,context,weight
21,institution,persist,kospi_return_1d,-0.001242807717062533
21,institution,persist,fx_level_z_252,-0.0009566864464432001
21,institution,underwater,kospi_return_1d,0.006470834370702505
21,institution,underwater,fx_level_z_252,5.519003025256097e-06
21,retail,momentum,kospi_return_1d,0.0016217625234276056
21,retail,momentum,fx_level_z_252,-0.0012247066479176283
21,retail,persist,kospi_return_1d,-0.012439844198524952
21,retail,persist,fx_level_z_252,-0.0014522370183840394
21,retail,underwater,kospi_return_1d,-0.00034383530146442354
21,retail,underwater,fx_level_z_252,-0.024814844131469727
22,foreign,momentum,kospi_return_1d,-0.012140537612140179
22,foreign,momentum,fx_level_z_252,-0.006598365493118763
22,foreign,persist,kospi_return_1d,-0.00035950858728028834
22,foreign,persist,fx_level_z_252,-8.626958151580766e-05
22,foreign,underwater,kospi_return_1d,-0.004071699921041727
22,foreign,underwater,fx_level_z_252,-0.005660935305058956
22,institution,momentum,kospi_return_1d,-0.0013699334813281894
22,institution,momentum,fx_level_z_252,1.910724677145481e-06
22,institution,persist,kospi_return_1d,-0.0022511547431349754
22,institution,persist,fx_level_z_252,-0.002197957132011652
22,institution,underwater,kospi_return_1d,0.004227234981954098
22,institution,underwater,fx_level_z_252,0.0018923423485830426
22,retail,momentum,kospi_return_1d,0.005524725653231144
22,retail,momentum,fx_level_z_252,-0.0005115806125104427
22,retail,persist,kospi_return_1d,-0.01158798485994339
22,retail,persist,fx_level_z_252,-0.0026220730505883694
22,retail,underwater,kospi_return_1d,-0.00013295610551722348
22,retail,underwater,fx_level_z_252,-0.03244648873806
23,foreign,momentum,kospi_return_1d,-0.0005434856866486371
23,foreign,momentum,fx_level_z_252,-0.006538047455251217
23,foreign,persist,kospi_return_1d,-0.005689277779310942
23,foreign,persist,fx_level_z_252,0.004922030493617058
23,foreign,underwater,kospi_return_1d,0.0004186084261164069
23,foreign,underwater,fx_level_z_252,-0.012462002225220203
23,institution,momentum,kospi_return_1d,-0.0004231292987242341
23,institution,momentum,fx_level_z_252,5.803360545542091e-05
23,institution,persist,kospi_return_1d,-0.007635884918272495
23,institution,persist,fx_level_z_252,-0.0016519170021638274
23,institution,underwater,kospi_return_1d,0.0055833240039646626
23,institution,underwater,fx_level_z_252,0.003213857300579548
23,retail,momentum,kospi_return_1d,-0.00826197024434805
23,retail,momentum,fx_level_z_252,-0.0009226310066878796
23,retail,persist,kospi_return_1d,-0.03433717414736748
23,retail,persist,fx_level_z_252,0.0005188720533624291
23,retail,underwater,kospi_return_1d,0.0004210026527289301
23,retail,underwater,fx_level_z_252,-0.024011531844735146
24,foreign,momentum,kospi_return_1d,-1.7098584066843614e-05
24,foreign,momentum,fx_level_z_252,0.0007994455518200994
24,foreign,persist,kospi_return_1d,-0.01009423565119505
24,foreign,persist,fx_level_z_252,-0.0016248621977865696
24,foreign,underwater,kospi_return_1d,0.006222978699952364
24,foreign,underwater,fx_level_z_252,-0.018043389543890953
24,institution,momentum,kospi_return_1d,-0.0005770248826593161
24,institution,momentum,fx_level_z_252,0.001921328017488122
24,institution,persist,kospi_return_1d,-0.0014375412138178945
24,institution,persist,fx_level_z_252,-4.212885687593371e-05
24,institution,underwater,kospi_return_1d,0.005263879895210266
24,institution,underwater,fx_level_z_252,0.0035822822246700525
24,retail,momentum,kospi_return_1d,0.001145634800195694
24,retail,momentum,fx_level_z_252,-0.00048754672752693295
24,retail,persist,kospi_return_1d,-0.02456783875823021
24,retail,persist,fx_level_z_252,0.00023091572802513838
24,retail,underwater,kospi_return_1d,-0.0011655577691271901
24,retail,underwater,fx_level_z_252,-0.016047144308686256
25,foreign,momentum,kospi_return_1d,-0.008633012883365154
25,foreign,momentum,fx_level_z_252,-0.00021511834347620606
25,foreign,persist,kospi_return_1d,-0.0014114594087004662
25,foreign,persist,fx_level_z_252,-0.002077478915452957
25,foreign,underwater,kospi_return_1d,-0.0007734963437542319
25,foreign,underwater,fx_level_z_252,7.711118087172508e-06
25,institution,momentum,kospi_return_1d,-0.0014398177154362202
25,institution,momentum,fx_level_z_252,0.0014742797939106822
25,institution,persist,kospi_return_1d,-0.0001042010699165985
25,institution,persist,fx_level_z_252,-0.00012641971989069134
