coefficient,split,investor,feature,weight,parameter_type,parameter,mean,std,positive_rate,negative_rate,split_count,direction_consistency,context
beta,7,retail,herd,-0.0316689237952232,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,7,retail,underwater,0.032571442425251,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,8,foreign,momentum,0.0574729554355144,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,8,foreign,herd,-0.0438631102442741,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,8,foreign,underwater,-0.0131628550589084,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,8,institution,momentum,-0.0040436419658362,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,8,institution,herd,-0.0045673623681068,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,8,institution,underwater,-0.0025990426074713,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,8,retail,momentum,-0.0306933019310235,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,8,retail,herd,-0.0305179134011268,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,8,retail,underwater,0.0297830943018198,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,9,foreign,momentum,0.0764938592910766,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,9,foreign,herd,-0.0299107022583484,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,9,foreign,underwater,0.0226357150822877,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
