split,investor,n_epochs,loss_first,loss_last,drop_share_by_80pct_epochs,final_step_share_of_drop,weight_final_step_max_abs,weight_final_step_rel
16,institution,10,0.015334,0.015176,0.9240506329113933,0.037974683544297824,0.00041267136111860017,0.08977250567913773
16,retail,20,0.11052,0.098425,0.9398098387763533,0.011078958247209201,0.001205094158649403,0.03598757405770708
17,foreign,75,0.065104,0.056817,1.0152045372269822,0.00012067093037299392,0.0016824835911392999,0.034029816817397814
17,institution,10,0.016744,0.016478,0.8684210526315772,0.0639097744360892,0.00046091526746749965,0.09562223167037323
17,retail,20,0.103305,0.09379,0.9680504466631635,0.009984235417761209,0.0010653212666511987,0.0336019657567113
18,foreign,75,0.070269,0.06043,1.0019310905579832,-0.0019310905579833504,0.0002642354447743,0.004573629306119031
18,institution,10,0.015813,0.015652,0.8881987577639721,0.04968944099379498,0.0004335143603384998,0.09237512418026286
18,retail,20,0.106207,0.095566,0.9567709801710363,0.007236162014848946,0.0010125990957021956,0.03221631614616295
19,foreign,75,0.06704,0.057492,1.0005236698785085,-0.0007331378299120299,0.00026866653934120004,0.004848079281431663
19,institution,10,0.015937,0.015763,0.8678160919540109,0.06321839080460091,0.0004637488164008002,0.09611044778770542
19,retail,20,0.110994,0.09746,0.9476873060440372,0.010122654056450298,0.0012183599174022952,0.03605766209471032
20,foreign,75,0.063457,0.054787,0.9994232987312575,0.002191464821222398,0.0001803264021872997,0.0037310088021614367
20,institution,10,0.015525,0.015327,0.8787878787878803,0.05555555555554972,0.00046289898455140026,0.0958983955578689
20,retail,20,0.110552,0.100221,0.9397928564514569,0.010841157680766728,0.0012720897793769004,0.03833330059131834
21,foreign,75,0.067858,0.05848,1.0010663254425247,-0.0011729579867772572,0.0003256266936660004,0.005848946069231027
21,institution,10,0.016622,0.016377,0.8734693877551041,0.05714285714285714,0.0004586186259985005,0.0955020067158497
21,retail,20,0.114757,0.101797,0.9439814814814811,0.010725308641975328,0.0011630021035671997,0.034704369608414096
22,foreign,75,0.067827,0.056774,0.9998190536505924,-0.0009047317470366528,0.00044658433762369997,0.0076790706684626425
22,institution,10,0.016829,0.016612,0.8709677419354839,0.06451612903225806,0.0004591625183821002,0.09544633836850701
22,retail,20,0.10607,0.092273,0.9570196419511481,0.007900268174241635,0.0011136308312416007,0.03367369594095976
23,foreign,75,0.067038,0.055749,0.9998228363894054,0.0007972362476749102,0.00030713621526949966,0.005619559957194142
23,institution,10,0.015219,0.015016,0.8965517241379302,0.04926108374384034,0.0004247007891536002,0.0915785853605939
23,retail,20,0.106167,0.094474,0.9497990250577265,0.00880868895920568,0.001179490238428102,0.03606786591767358
24,foreign,75,0.067414,0.058707,1.0359480877454923,0.008613759044446846,0.0014201824087648998,0.030541847625363973
24,institution,10,0.01649,0.016282,0.8798076923077055,0.04807692307692115,0.0004499768838286001,0.09462664251967264
24,retail,20,0.106021,0.098726,0.967100753941055,0.007813570938999509,0.0008788476698100003,0.029570203135596513
25,foreign,75,0.064257,0.055526,1.0013744130111095,-0.0014889474287022254,0.0003005331382155002,0.0056438088923173235
25,institution,10,0.016617,0.016402,0.8651162790697616,0.06511627906976804,0.00046429224312299986,0.09613784392279497
25,retail,20,0.110456,0.100342,0.9574846747083251,0.009590666403005724,0.0010957717895507986,0.034156810070908636
26,foreign,75,0.060783,0.052768,1.0001247660636308,-0.001746724890829711,0.0004394948482513983,0.0092529840473566
26,institution,10,0.016205,0.015955,0.8599999999999989,0.06799999999999856,0.0004655718803405996,0.09622412361246362
26,retail,20,0.109994,0.102627,0.9497760282340153,0.012488122709380855,0.0010771732777356963,0.03437726820134012
27,foreign,75,0.065197,0.05612,0.9996694943263197,-0.000661011347362124,0.0002438090741634022,0.004470510220279598
27,institution,10,0.017302,0.017011,0.883161512027483,0.05498281786942252,0.00046091619878999967,0.09575962699591796
27,retail,20,0.114155,0.104529,0.9555370870558906,0.011011842925411257,0.0009091524407268004,0.029477381052029825
28,foreign,75,0.065123,0.05495,0.999311904059766,0.001277892460434397,0.00023335963487620005,0.0040439286778070635
28,institution,10,0.01751,0.017239,0.8745387453874566,0.059040590405899006,0.0004612863995135004,0.09570285158472078
28,retail,20,0.105426,0.095636,0.962104187946885,0.00592441266598595,0.0010693566873669989,0.03490795980030157
29,foreign,75,0.064397,0.053898,0.9994285170016193,0.0003809886655869191,0.0002025544526987,0.0037327036238868102
29,institution,10,0.015896,0.015647,0.8995983935743079,0.044176706827297824,0.0004313671961427004,0.09207637669418252
29,retail,20,0.105586,0.097046,0.9597189695550339,0.005386416861827206,0.0009911784436554,0.032265354506977366
30,foreign,75,0.069369,0.059618,0.9174443646805456,0.000410214336991488,0.0016599069349468002,0.032036247261937295
30,institution,10,0.015711,0.015567,0.8958333333333256,0.04861111111111153,0.00043893605470649976,0.09308225761168706
30,retail,20,0.113498,0.102425,0.948071886570939,0.008669737198591066,0.0010523959062993,0.032594477129897534
31,foreign,75,0.066148,0.057234,0.9998878169172087,-0.00022436616558245463,0.00030979461735120006,0.0063408996784264015
31,institution,10,0.015143,0.014968,0.8628571428571443,0.0628571428571364,0.00045813526958229933,0.09542732778690968
31,retail,20,0.113149,0.105131,0.9386380643552017,0.008480917934646875,0.0012049544602631967,0.03791869085691077
32,foreign,75,0.070475,0.060962,0.9992641648270787,0.00010511931041742886,0.0003340770490467002,0.005986943743515348
32,institution,10,0.016239,0.016025,0.8925233644859868,0.051401869158881536,0.0004609054885805,0.09594272673237883
32,retail,20,0.117377,0.106982,0.945839345839345,0.010678210678210676,0.0011326894164085007,0.03570484943097165
33,foreign,75,0.070319,0.059233,0.9984665343676713,0.0008118347465273369,0.00024914881214499994,0.004268067535408488
33,institution,10,0.016447,0.016274,0.8843930635838194,0.05202312138727524,0.0004438525065779998,0.09381586513183997
33,retail,20,0.108697,0.097692,0.9491140390731482,0.012267151294865627,0.0009767413139343019,0.031037498514368145
34,foreign,75,0.069683,0.058253,1.0021872265966751,-0.002712160979877193,0.0005126214819029001,0.009252073947456125
34,institution,10,0.014838,0.014645,0.8860103626943037,0.051813471502588436,0.0004398096352816001,0.09334946212701063
34,retail,20,0.108797,0.09927,0.9520310695916869,0.008292222105595628,0.0011812996235676001,0.03781651195142421
35,foreign,75,0.062906,0.054258,0.9913274745605922,-0.00023126734505111003,0.0009946515783668015,0.02313905292547774
35,institution,10,0.015259,0.015084,0.8628571428571443,0.06857142857142784,0.0004625078290700999,0.09592813358012206
35,retail,20,0.117884,0.107491,0.9345713460983354,0.01327816799769068,0.0014739399775862,0.04473370821553049
36,foreign,75,0.067224,0.057958,1.0002158428663934,0.0006475285991796956,0.00021964812185619985,0.004061057443988518
36,institution,10,0.016363,0.016147,0.8703703703703838,0.06018518518518184,0.00046059116721160025,0.09586289417335435
36,retail,20,0.122247,0.109426,0.9376023711098971,0.009359644333516028,0.0012950040400027951,0.03822276485750818
37,foreign,75,0.067136,0.05611,0.9985488844549245,0.0017231997097767262,0.00020401505753400023,0.003626043040133708
37,institution,10,0.01657,0.016397,0.867052023121377,0.05780346820810918,0.00046382658183580054,0.09615892374913004
37,retail,20,0.113592,0.099802,0.9427121102248006,0.01225525743292259,0.001020137220621102,0.03125738370809549
38,foreign,75,0.066456,0.055217,1.0007118071002759,-0.00035590355013826857,0.0003371360944584001,0.006278205321560076
38,institution,10,0.014961,0.014815,0.8904109589041072,0.054794520547940484,0.00040387501940129973,0.08826918450169133
38,retail,20,0.113523,0.101249,0.9398729020694159,0.01156917060452904,0.0011672489345074047,0.03530970352813163
39,foreign,75,0.063906,0.056414,1.0297650827549387,-0.0016017084890547404,0.0010852348059416,0.023975149799679074
39,institution,10,0.015871,0.01563,0.8630705394190931,0.06224066390040568,0.0004641572013496997,0.09608741441595019
39,retail,20,0.121629,0.111858,0.9350117695220554,0.012485927745368651,0.0011937879025935988,0.03632610665368914
40,foreign,75,0.063549,0.05354,1.0010990108901985,-0.0007992806474167375,0.0003551263362168997,0.0075669082220314035
40,institution,10,0.016159,0.015942,0.8801843317972422,0.05990783410137888,0.0004643951542675998,0.09609473871042247
40,retail,20,0.113075,0.102804,0.9372018303962619,0.009833511829421682,0.0012241937220095964,0.03636031093428155
41,foreign,75,0.062802,0.052836,1.0001003411599438,0.001304435079269429,0.00020969612523919975,0.004585219204756989
41,institution,10,0.014551,0.014345,0.8834951456310691,0.053398058252430165,0.00043255882337690007,0.09212290286718672
41,retail,20,0.113259,0.103872,0.9466283157558338,0.009055076169168843,0.0012010522186756065,0.03585096460283643
42,foreign,75,0.068247,0.057995,1.008095981271947,-0.009266484588372788,0.0016631996259093996,0.027468088452239584
42,institution,10,0.017187,0.016944,0.8888888888888921,0.05761316872428031,0.00046081701293590027,0.09575496331237096
42,retail,20,0.11715,0.104336,0.9400655533010766,0.012408303418136904,0.0011080242693423947,0.033833153038786964
43,foreign,75,0.067174,0.055963,0.9998216037819997,-0.00017839621800035683,0.0002273824065924003,0.004064582359709794
43,institution,10,0.015643,0.015373,0.8925925925925884,0.05185185185185209,0.0004546362906695002,0.09543120295880587
43,retail,20,0.117329,0.105407,0.9346586143264551,0.01442710954537875,0.001130543649196597,0.03439926258956847
44,foreign,75,0.066956,0.054277,0.9830428267213502,0.0013407997476144113,0.0023023430258036007,0.03926728199315525
44,institution,10,0.015773,0.015583,0.9157894736842082,0.03684210526315838,0.0003963951021432998,0.08670315405217556
44,retail,20,0.108124,0.09604,0.9467063886130416,0.010013240648791472,0.0011558155529200996,0.0358598931028895
