date,close,high,low,return,trading_value,foreign_net_buy,institution_net_buy,retail_net_buy,foreign_buy_value,foreign_sell_value,foreign_buy_volume,foreign_sell_volume,institution_buy_value,institution_sell_value,institution_buy_volume,institution_sell_volume,retail_buy_value,retail_sell_value,retail_buy_volume,retail_sell_volume,usdkrw,kospi200_return,vkospi
2019-04-22,45350,45900,45100,0.0011037527593817,273125405900,33014074250,-33358722800,4243151050,103342503150,70328428900,2272996,1547124,111217539400,144576262200,2445375,3179806,57988272450,53745121400,1275872,1181041,1140.0400390625,-6.995697645939547e-05,12.89
2019-04-23,45200,45500,45000,-0.0033076074972436,313179774125,-8538621200,-24045882800,33473973250,137634036375,146172657575,3041854,3231610,110598166950,134644049750,2442891,2973615,64710041300,31236068050,1430575,690403,1142.0,0.0020988561234127,12.72
2019-04-24,44750,45650,44150,-0.0099557522123894,594100467458,-11746494050,-105420932850,116952963900,264356023808,276102517858,5908667,6167628,157572306650,262993239500,3527167,5898817,169570933250,52617969350,3805083,1178890,1155.260009765625,-0.0096694243725348,12.9
2019-04-25,44650,45000,44100,-0.0022346368715083,485378095190,-56923044750,15721285800,41877868750,247638344140,304561388890,5542803,6822694,146639888400,130918602600,3284365,2930263,90059885000,48182016250,2018429,1077769,1159.0,-0.003066619668664,12.88
2019-04-26,44850,45000,43800,0.0044792833146696,434008341453,20843628350,-32824301650,11561438450,210759000003,189915371653,4729124,4263899,147870361200,180694662850,3311985,4055240,74125941000,62564502550,1670745,1402197,1159.0,-0.0052681823003217,12.98
2019-04-29,46150,46150,45100,0.0289855072463767,401124009550,50494876400,31345611950,-82332268000,179011356500,128516480100,3924515,2812687,178136444650,146790832700,3890194,3212903,42257862500,124590130500,925405,2725063,1158.7900390625,0.0193715788725388,13.22
2019-04-30,45850,46300,45350,-0.0065005417118093,509855767200,29574642600,-13673586700,-17738808400,284418102200,254843459600,6201136,5558105,163793813050,177467399750,3572746,3873270,58755257800,76494066200,1284284,1666828,1163.260009765625,-0.0065204505038529,13.28
2019-05-02,45900,46150,45400,0.0010905125408942,395453520550,-21037646950,9824665050,8044882150,160051115550,181088762500,3494002,3952137,173109222600,163284557550,3771999,3560764,59092897650,51048015500,1289436,1111525,1166.109985351562,0.0042117085497683,13.72
2019-05-03,45300,46050,45300,-0.0130718954248365,298782689050,32466044800,-78922195500,41272648850,111109948800,78643904000,2438802,1727248,110451197700,189373393200,2426110,4159924,70900481450,29627832600,1558970,650698,1166.109985351562,-0.0085628407661121,13.54
2019-05-07,44850,45300,44400,-0.0099337748344371,538125202400,68335156850,-116848622550,56674103600,281821144950,213485988100,6284495,4765871,149021975450,265870598000,3330546,5938073,106540362100,49866258500,2383303,1112218,1171.300048828125,-0.0083195262100328,14.61
2019-05-08,44250,44850,44200,-0.0133779264214046,462086636050,-23369635550,-59279171750,84186875100,200797108500,224166744050,4517986,5046275,136856128150,196135299900,3077339,4412568,122525455700,38338580600,2760482,862429,1172.18994140625,-0.004123564750631,15.83
2019-05-09,42450,44250,42450,-0.0406779661016949,993611649785,-93133653900,-152254471600,231737343800,351396825335,444530479235,8141186,10269574,317892586650,470147058250,7383543,10939984,308569101900,76831758100,7137473,1771263,1179.18994140625,-0.0326610744244154,18.28
2019-05-10,42900,43450,42450,0.0106007067137809,624673461000,-83269633150,8648264950,70682710550,202242232450,285511865600,4723176,6668836,264268548200,255620283250,6164513,5963268,152782788350,82100077800,3566352,1913787,1179.18994140625,0.003911439114391,18.53
2019-05-13,42650,43200,42350,-0.0058275058275057,326874119000,30434035050,-46237810350,18189770850,139399490750,108965455700,3253730,2546388,120673239750,166911050100,2819252,3897479,65756865200,47567094350,1537589,1110781,1187.180053710938,-0.0122767036683083,18.38
2019-05-14,42650,43100,41300,0.0,491109676200,-96595190000,66531452650,25034880400,179297227450,275892417450,4210922,6505163,217335159100,150803706450,5119128,3540777,89073779300,64038898900,2107091,1508732,1186.930053710938,-0.0005582018457875,18.05
2019-05-15,42550,43050,42550,-0.0023446658851113,327973978000,-22572210350,-26101383100,38642679450,125541386150,148113596500,2938070,3467000,118275918200,144377301300,2763132,3374530,73204699550,34562020100,1712733,807213,1186.0400390625,0.0039840637450199,16.63
2019-05-16,41550,42400,41350,-0.0235017626321973,572149879612,-146178840600,688498450,133221324700,191165905462,337344746062,4575464,8077028,177801376350,177112877900,4254178,4227860,190626876900,57405552200,4559443,1376077,1190.489990234375,-0.0135365672748849,16.6
2019-05-17,41200,42050,40850,-0.0084235860409145,554484416170,-28347474400,-32931032200,59741677550,303171176720,331518651120,7299792,7983506,119519391850,152450424050,2878809,3674397,128864580850,69122903300,3109025,1666208,1190.489990234375,-0.0061656453250121,16.03
2019-05-20,42000,42100,41550,0.0194174757281553,659809912200,69786295200,-9667424550,-39063330950,425529807750,355743512550,10158551,8492761,179051482950,188718907500,4274582,4506095,54995805050,94059136000,1313699,2245373,1193.329956054688,0.0023075468129372,15.9
2019-05-21,43150,43950,42350,0.0273809523809522,815224371474,82544821200,-47333141050,-42165728950,410093909674,327549088474,9468605,7565825,243236408400,290569549450,5606155,6702907,153693442050,195859171000,3548281,4514775,1193.329956054688,0.0043780193236715,15.66
2019-05-22,43500,43800,42400,0.0081112398609501,477853598650,76844179000,-64836946250,-14489091550,253787976650,176943797650,5847610,4085034,142938804400,207775750650,3300140,4799192,77740813600,92229905150,1806927,2128221,1188.800048828125,0.0019915827446264,16.1
2019-05-23,43850,44000,43250,0.0080459770114942,536198002640,142521812650,-79404338050,-62265588900,332882498040,190360685390,7610411,4352227,158746391100,238150729150,3628886,5445115,44404691350,106670280250,1015955,2438384,1188.800048828125,-0.0010125632852052,16.4
2019-05-24,42700,43800,42400,-0.0262257696693272,599084523862,-172275454800,102675646100,69040519800,225436978812,397712433612,5252674,9271924,250702368900,148026722800,5846540,3451023,121912451100,52871931300,2842978,1232354,1188.800048828125,-0.0073579097529843,16.66
2019-05-27,42650,43000,42350,-0.0011709601873536,344043547350,-56716497850,40015461700,17076071550,127940141050,184656638900,2999211,4329971,157651432050,117635970350,3696707,2757205,58059451500,40983379950,1361547,961436,1182.31005859375,-7.563724377901426e-05,17.07
2019-05-28,42550,42950,42150,-0.0023446658851113,1042865612000,-194463063350,164696957300,26515499550,710534142100,904997205450,16698138,21266739,257462847150,92765889850,6048383,2180648,71481149350,44965649800,1680800,1056270,1187.579956054688,0.0011346444780635,17.01
2019-05-29,41800,42100,41300,-0.017626321974148,623333158995,-84816022100,36033129900,64179091150,254118349295,338934371395,6081998,8117057,226988621600,190955491700,5437906,4576551,141090547800,76911456650,3383480,1841054,1192.2099609375,-0.0125802795617679,17.32
2019-05-30,42550,42700,42150,0.0179425837320574,499609785843,68877708050,-33427891700,-33818628550,305648547293,236770839243,7200529,5579059,148847503950,182275395650,3502843,4289700,44263207350,78081835900,1042602,1838770,1188.380004882812,0.0097945441328384,16.67
2019-05-31,42500,42800,42150,-0.0011750881316098,483166570320,18902466800,-26352613100,9323976400,271374675120,252472208320,6380832,5938729,156080061900,182432675000,3673286,4293216,53829365900,44505389500,1267404,1045758,1188.380004882812,-0.0001515553366423,17.32
2019-06-03,43800,43900,42500,0.0305882352941175,673362393454,141563090350,-49544822950,-87934352900,337806444645,196243354295,7763611,4505747,252756099909,302300922859,5799510,6943930,77609869150,165544222050,1784559,3803447,1178.349975585938,0.016180984501118,17.32
2019-06-04,43450,43700,43000,-0.0079908675799086,429427885923,-99142083850,74484161050,23180521000,149489937623,248632021473,3448803,5738613,211760679100,137276518050,4890052,3170002,66638489600,43457968600,1539069,1003466,1176.050048828125,-0.0018645584725537,17.4
